Age,Grade Level,Hours on Social Media,Platforms,Device,Reasons,GPA,Affects Performance,Effect Details,Academic Use Frequency,Academic Use Type,Check Frequency,Overall Effect,Would Perform Better,Reduced Usage,Improvement Noted,Life Impact,Likes,Dislikes,Comments
Over 21,College/University,5-6 hours,"WhatsApp, YouTube",Smartphone,"Professional networking, Entertainment",2.5-3.0,Yes,"Causes me to procrastinate, Helps me with research and study groups, Motivates me through educational content",Frequently,Seeking help from peers/experts,Multiple times per hour,Mostly negative,Yes,Yes,Yes,Mostly negative,Educational information,Distraction,Middle surface piece pressure.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Entertainment, News and updates",3.5-4.0,Yes,"Helps me with research and study groups, Motivates me through educational content, Causes me to procrastinate",Always,"Joining study groups, Sharing academic resources, Watching educational videos, Participating in online discussions",Every hour,Unsure,No,No,Yes,Neutral,Socializing with friends,Distraction,Surface employee indicate experience.
19-21,College/University,3-4 hours,YouTube,Smartphone,"News and updates, Entertainment",2.5-3.0,Yes,Motivates me through educational content,Frequently,"Seeking help from peers/experts, Sharing academic resources, Joining study groups",Multiple times per hour,Neutral,Yes,Yes,No,Mostly negative,Entertainment,Nothing,Eye wish special Mr water buy husband speech.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Educational purposes, Professional networking",3.5-4.0,No,Distracts me from studying,Always,Watching educational videos,Multiple times per hour,Mostly positive,No,Yes,Not sure,Mostly positive,Wide range of resources,It causes procrastination,Picture theory go choice.
19-21,College/University,1-2 hours,Instagram,Tablet,Educational purposes,3.5-4.0,Yes,Motivates me through educational content,Occasionally,"Seeking help from peers/experts, Participating in online discussions, Watching educational videos, Joining study groups",Every hour,Unsure,No,Not sure,Yes,Neutral,Educational information,Information insecurity and rumors,Imagine including something where show according.
Over 21,College/University,Less than 1 hour,"Facebook, Instagram, WhatsApp",Tablet,"Educational purposes, Entertainment, Professional networking",2.5-3.0,Yes,"Motivates me through educational content, Helps me with research and study groups, Distracts me from studying",Always,"Joining study groups, Watching educational videos",Multiple times per hour,Mostly positive,No,No,Not sure,Mostly negative,Awareness,Nothing,Range any feel firm institution but.
Over 21,College/University,3-4 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,News and updates,2.5-3.0,Yes,Causes me to procrastinate,Occasionally,Participating in online discussions,Multiple times per hour,Unsure,Not sure,Yes,Not sure,Mostly negative,Entertainment,Nothing,Want read Republican civil well old plan.
16-18,College/University,1-2 hours,YouTube,Smartphone,News and updates,2.5-3.0,Yes,"Motivates me through educational content, Helps me with research and study groups, Distracts me from studying",Always,"Watching educational videos, Participating in online discussions",Multiple times per hour,Mostly negative,Yes,Not sure,Yes,Mostly negative,Educational information,Improper content,Sing Congress rest heavy house.
19-21,College/University,3-4 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"News and updates, Entertainment",3.5-4.0,No,"Motivates me through educational content, Helps me with research and study groups",Occasionally,"Sharing academic resources, Seeking help from peers/experts",Once or twice,Unsure,No,Not sure,No,Unsure,Wide range of resources,It causes procrastination,Analysis certain but note.
16-18,College/University,1-2 hours,"WhatsApp, YouTube",Smartphone,"Socializing with friends, Professional networking",2.0-2.5,Yes,"Helps me with research and study groups, Causes me to procrastinate, Distracts me from studying",Always,"Watching educational videos, Sharing academic resources, Seeking help from peers/experts",Once or twice,Neutral,Not sure,Yes,No,Neutral,Entertainment,Information insecurity and rumors,Only focus occur pay actually.
19-21,College/University,1-2 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Laptop,"Professional networking, Socializing with friends, Entertainment",3.5-4.0,Yes,Motivates me through educational content,Always,"Watching educational videos, Joining study groups",Every hour,Neutral,No,No,Yes,Mostly positive,Wide range of resources,Distraction,Not understand east since.
19-21,College/University,3-4 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Professional networking, Educational purposes, Socializing with friends",3.5-4.0,No,"Distracts me from studying, Helps me with research and study groups, Causes me to procrastinate",Frequently,Participating in online discussions,Every hour,Mostly positive,No,Yes,No,Unsure,It connects the whole world,Distraction,Measure fly set agency their sit.
19-21,College/University,1-2 hours,"WhatsApp, YouTube",Smartphone,Socializing with friends,2.5-3.0,Yes,Motivates me through educational content,Occasionally,"Participating in online discussions, Watching educational videos, Seeking help from peers/experts, Sharing academic resources",Once or twice,Neutral,Not sure,Yes,Yes,Unsure,Wide range of resources,Information insecurity and rumors,Trial room treat together sister teacher.
19-21,College/University,3-4 hours,Instagram,Smartphone,"News and updates, Professional networking, Entertainment",2.0-2.5,No,"Helps me with research and study groups, Distracts me from studying",Occasionally,"Seeking help from peers/experts, Participating in online discussions, Sharing academic resources",Multiple times per hour,Unsure,Not sure,Not sure,No,Mostly negative,Wide range of resources,Distraction,Reduce involve tree defense court court American.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Entertainment, Educational purposes",2.5-3.0,No,Helps me with research and study groups,Occasionally,"Watching educational videos, Participating in online discussions",Multiple times per hour,Unsure,Not sure,Not sure,Yes,Unsure,It connects the whole world,Addiction,Outside development someone less development clearly thank.
16-18,College/University,1-2 hours,"WhatsApp, YouTube",Smartphone,"Socializing with friends, Entertainment, Educational purposes",3.0-3.5,No,Causes me to procrastinate,Frequently,"Participating in online discussions, Watching educational videos, Sharing academic resources, Joining study groups",Multiple times per hour,Unsure,Not sure,Not sure,Yes,Neutral,Awareness,Information insecurity and rumors,Free design eight through team pick now try.
19-21,College/University,5-6 hours,YouTube,Smartphone,Professional networking,3.0-3.5,No,"Motivates me through educational content, Distracts me from studying, Helps me with research and study groups",Always,"Participating in online discussions, Joining study groups, Seeking help from peers/experts",Every hour,Neutral,Not sure,No,No,Neutral,Entertainment,It causes procrastination,Their audience customer reduce try company.
19-21,College/University,More than 6 hours,YouTube,Laptop,"Entertainment, Socializing with friends",2.5-3.0,Yes,"Helps me with research and study groups, Distracts me from studying",Always,"Joining study groups, Seeking help from peers/experts, Watching educational videos, Sharing academic resources",Every hour,Unsure,Yes,Not sure,Yes,Mostly positive,Entertainment,Distraction,Instead staff assume town key.
19-21,College/University,1-2 hours,Instagram,Smartphone,Socializing with friends,2.5-3.0,No,"Motivates me through educational content, Causes me to procrastinate",Always,"Seeking help from peers/experts, Sharing academic resources, Participating in online discussions",Multiple times per hour,Neutral,No,Not sure,No,Mostly negative,Socializing with friends,Improper content,Like yourself total interesting evening.
19-21,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,"News and updates, Entertainment, Socializing with friends",3.0-3.5,Yes,"Distracts me from studying, Causes me to procrastinate, Motivates me through educational content",Occasionally,"Seeking help from peers/experts, Participating in online discussions, Joining study groups",Every hour,Unsure,No,Not sure,Not sure,Mostly positive,Educational information,Distraction,What process worry.
19-21,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,News and updates,3.0-3.5,Yes,"Causes me to procrastinate, Motivates me through educational content",Frequently,Seeking help from peers/experts,Multiple times per hour,Mostly negative,No,Yes,Not sure,Neutral,Wide range of resources,Addiction,This community daughter strategy society many fear.
19-21,College/University,Less than 1 hour,Instagram,Smartphone,"Professional networking, Entertainment",3.0-3.5,Yes,"Helps me with research and study groups, Distracts me from studying, Causes me to procrastinate",Occasionally,"Joining study groups, Watching educational videos, Sharing academic resources",Multiple times per hour,Unsure,Yes,Yes,Yes,Mostly negative,Entertainment,Distraction,Whether believe that.
19-21,College/University,1-2 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Tablet,"Professional networking, Entertainment, Socializing with friends",3.5-4.0,Yes,"Helps me with research and study groups, Causes me to procrastinate",Always,"Joining study groups, Seeking help from peers/experts, Participating in online discussions, Sharing academic resources",Once or twice,Unsure,No,Not sure,Not sure,Mostly positive,It connects the whole world,Nothing,Cold indicate our.
Over 21,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Educational purposes, Professional networking, Socializing with friends",3.5-4.0,No,"Motivates me through educational content, Causes me to procrastinate",Always,Joining study groups,Once or twice,Mostly positive,Yes,Not sure,Yes,Unsure,Educational information,It causes procrastination,Follow speech but training power thought.
19-21,College/University,1-2 hours,Instagram,Smartphone,Entertainment,2.5-3.0,No,"Distracts me from studying, Causes me to procrastinate, Helps me with research and study groups",Always,"Participating in online discussions, Watching educational videos, Joining study groups",Every hour,Unsure,No,Not sure,Not sure,Neutral,Wide range of resources,Improper content,Or return reveal share chair open.
19-21,College/University,5-6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Socializing with friends, Professional networking",3.5-4.0,Yes,"Helps me with research and study groups, Distracts me from studying",Occasionally,"Watching educational videos, Joining study groups",Once or twice,Neutral,Not sure,Not sure,Yes,Mostly positive,It connects the whole world,It causes procrastination,Tend use shoulder.
19-21,College/University,Less than 1 hour,"Instagram, WhatsApp",Smartphone,"Socializing with friends, Educational purposes",2.5-3.0,Yes,Distracts me from studying,Always,"Watching educational videos, Sharing academic resources",Multiple times per hour,Mostly positive,Not sure,Yes,No,Neutral,Educational information,Information insecurity and rumors,Property doctor affect people star live us beyond.
19-21,College/University,3-4 hours,"WhatsApp, YouTube",Laptop,Entertainment,3.5-4.0,Yes,Distracts me from studying,Occasionally,"Seeking help from peers/experts, Sharing academic resources, Joining study groups, Watching educational videos",Once or twice,Mostly positive,Yes,Yes,No,Unsure,Entertainment,Distraction,Amount former voice operation usually always pretty billion.
Over 21,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"News and updates, Socializing with friends",2.5-3.0,Yes,"Motivates me through educational content, Helps me with research and study groups, Causes me to procrastinate",Frequently,"Watching educational videos, Joining study groups",Every hour,Mostly positive,No,No,No,Neutral,Educational information,It causes procrastination,Finish admit security realize commercial radio base only.
16-18,College/University,3-4 hours,YouTube,Smartphone,"Professional networking, Entertainment",3.0-3.5,Yes,"Motivates me through educational content, Helps me with research and study groups, Causes me to procrastinate",Frequently,"Seeking help from peers/experts, Joining study groups, Watching educational videos, Participating in online discussions",Multiple times per hour,Neutral,Yes,No,Yes,Mostly positive,Awareness,Nothing,Describe rule minute TV.
19-21,College/University,1-2 hours,"Instagram, WhatsApp",Smartphone,"Professional networking, Socializing with friends",2.0-2.5,Not sure,"Distracts me from studying, Motivates me through educational content, Helps me with research and study groups",Occasionally,"Joining study groups, Sharing academic resources",Every hour,Mostly negative,No,Not sure,Not sure,Neutral,It connects the whole world,Nothing,Politics base common available.
16-18,College/University,3-4 hours,"Instagram, WhatsApp",Tablet,"Socializing with friends, Professional networking, News and updates",3.5-4.0,Yes,"Distracts me from studying, Causes me to procrastinate, Helps me with research and study groups",Frequently,"Sharing academic resources, Watching educational videos, Participating in online discussions",Once or twice,Unsure,No,Not sure,Not sure,Unsure,Educational information,Information insecurity and rumors,Wish the year man respond exist.
16-18,College/University,3-4 hours,YouTube,Smartphone,Socializing with friends,2.0-2.5,No,Distracts me from studying,Occasionally,"Watching educational videos, Seeking help from peers/experts, Participating in online discussions, Joining study groups",Multiple times per hour,Mostly negative,Not sure,No,Yes,Neutral,Entertainment,Distraction,Guy hotel natural information protect treat avoid.
16-18,College/University,1-2 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Professional networking, Entertainment",3.5-4.0,Not sure,"Helps me with research and study groups, Distracts me from studying",Occasionally,"Participating in online discussions, Joining study groups, Watching educational videos",Multiple times per hour,Neutral,Not sure,Yes,Yes,Neutral,Awareness,Improper content,Power game half same politics community father.
Over 21,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Educational purposes, Professional networking, Socializing with friends",2.5-3.0,No,"Helps me with research and study groups, Distracts me from studying",Frequently,"Watching educational videos, Joining study groups, Seeking help from peers/experts, Participating in online discussions",Every hour,Mostly positive,Yes,Yes,Yes,Unsure,Awareness,Distraction,Every future reduce entire.
19-21,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,Entertainment,3.0-3.5,No,"Helps me with research and study groups, Causes me to procrastinate, Motivates me through educational content",Frequently,"Seeking help from peers/experts, Sharing academic resources, Joining study groups",Once or twice,Unsure,Not sure,Yes,Not sure,Mostly negative,Educational information,It causes procrastination,Guess modern officer popular wall happy.
19-21,College/University,Less than 1 hour,"Facebook, Instagram, WhatsApp",Smartphone,"Professional networking, Entertainment",2.5-3.0,No,"Motivates me through educational content, Helps me with research and study groups",Frequently,"Seeking help from peers/experts, Joining study groups",Every hour,Mostly negative,No,Yes,No,Neutral,Educational information,Improper content,Western effort seat serious.
19-21,College/University,More than 6 hours,"WhatsApp, YouTube",Smartphone,"Professional networking, Educational purposes",2.5-3.0,Yes,"Distracts me from studying, Causes me to procrastinate, Motivates me through educational content",Occasionally,"Sharing academic resources, Seeking help from peers/experts, Participating in online discussions, Watching educational videos",Once or twice,Mostly positive,Yes,No,Yes,Neutral,Entertainment,Addiction,Black beautiful rise amount network teacher weight.
19-21,College/University,Less than 1 hour,"Instagram, Snapchat, WhatsApp",Smartphone,"Entertainment, Socializing with friends, Professional networking",3.0-3.5,Yes,Distracts me from studying,Occasionally,"Participating in online discussions, Watching educational videos, Sharing academic resources",Multiple times per hour,Mostly negative,Yes,Yes,Not sure,Unsure,It connects the whole world,Improper content,Later as feeling building visit else figure.
19-21,College/University,5-6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Educational purposes, Professional networking",3.0-3.5,No,Causes me to procrastinate,Always,"Seeking help from peers/experts, Joining study groups, Watching educational videos, Sharing academic resources",Once or twice,Unsure,Yes,Not sure,No,Unsure,Entertainment,Information insecurity and rumors,Also whether training present.
Over 21,College/University,5-6 hours,"WhatsApp, YouTube",Laptop,Entertainment,2.5-3.0,Yes,"Helps me with research and study groups, Motivates me through educational content",Occasionally,"Joining study groups, Participating in online discussions, Sharing academic resources",Once or twice,Neutral,Yes,Yes,Not sure,Neutral,Educational information,Information insecurity and rumors,On my sing space loss condition.
16-18,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Smartphone,News and updates,2.0-2.5,Yes,"Causes me to procrastinate, Distracts me from studying, Motivates me through educational content",Always,"Joining study groups, Watching educational videos, Participating in online discussions",Every hour,Mostly positive,No,Yes,Not sure,Mostly positive,Entertainment,Improper content,Admit research claim strategy nothing society.
19-21,College/University,1-2 hours,"Facebook, Instagram, WhatsApp",Laptop,Educational purposes,2.0-2.5,Yes,"Distracts me from studying, Motivates me through educational content",Frequently,"Joining study groups, Seeking help from peers/experts",Once or twice,Neutral,No,Not sure,Yes,Mostly negative,Wide range of resources,It causes procrastination,Drive factor people within better cost.
19-21,College/University,1-2 hours,Instagram,Laptop,Educational purposes,3.0-3.5,Yes,"Motivates me through educational content, Helps me with research and study groups, Distracts me from studying",Frequently,"Watching educational videos, Participating in online discussions, Joining study groups",Once or twice,Mostly positive,No,No,Not sure,Mostly positive,Socializing with friends,Nothing,Generation worry enough management.
Over 21,College/University,5-6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,Professional networking,2.5-3.0,Not sure,"Causes me to procrastinate, Motivates me through educational content, Helps me with research and study groups",Frequently,"Watching educational videos, Seeking help from peers/experts, Joining study groups",Once or twice,Mostly negative,Not sure,Yes,Yes,Mostly negative,It connects the whole world,It causes procrastination,Drug work music theory particular.
19-21,College/University,3-4 hours,YouTube,Smartphone,"News and updates, Entertainment",2.5-3.0,No,"Causes me to procrastinate, Distracts me from studying, Motivates me through educational content",Frequently,"Participating in online discussions, Seeking help from peers/experts, Watching educational videos, Sharing academic resources",Multiple times per hour,Unsure,No,Not sure,Not sure,Unsure,Entertainment,Information insecurity and rumors,Most performance senior their.
19-21,College/University,More than 6 hours,"WhatsApp, YouTube",Smartphone,"Entertainment, Socializing with friends",3.0-3.5,Yes,Helps me with research and study groups,Always,"Participating in online discussions, Watching educational videos, Joining study groups, Sharing academic resources",Every hour,Neutral,No,Yes,Yes,Mostly positive,Wide range of resources,Nothing,Ok animal cost.
19-21,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"News and updates, Entertainment, Professional networking",3.0-3.5,Yes,"Causes me to procrastinate, Motivates me through educational content",Always,"Seeking help from peers/experts, Participating in online discussions, Sharing academic resources, Watching educational videos",Once or twice,Unsure,No,Yes,Yes,Unsure,Entertainment,Distraction,Ask board yourself coach score blood.
Over 21,College/University,3-4 hours,"Instagram, WhatsApp",Laptop,"News and updates, Educational purposes, Entertainment",3.0-3.5,Yes,Motivates me through educational content,Always,"Sharing academic resources, Joining study groups",Every hour,Unsure,Not sure,Yes,No,Unsure,Socializing with friends,Nothing,Body sort check system down.
19-21,College/University,1-2 hours,"Facebook, Instagram, WhatsApp",Smartphone,Entertainment,3.5-4.0,Yes,Causes me to procrastinate,Occasionally,"Sharing academic resources, Participating in online discussions",Multiple times per hour,Unsure,No,No,Not sure,Neutral,Entertainment,Distraction,House local yet unit.
19-21,College/University,1-2 hours,YouTube,Smartphone,"Educational purposes, Socializing with friends",3.0-3.5,No,"Distracts me from studying, Causes me to procrastinate, Helps me with research and study groups",Frequently,Participating in online discussions,Every hour,Neutral,No,Not sure,Yes,Mostly negative,Wide range of resources,Nothing,Our strategy travel else.
Over 21,College/University,More than 6 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Entertainment, News and updates",3.0-3.5,Yes,"Distracts me from studying, Causes me to procrastinate, Motivates me through educational content",Occasionally,Seeking help from peers/experts,Multiple times per hour,Mostly negative,No,Not sure,Yes,Mostly negative,Awareness,Distraction,Smile sell experience energy reflect hard team human.
19-21,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,"Entertainment, Educational purposes",2.5-3.0,Yes,Helps me with research and study groups,Occasionally,"Seeking help from peers/experts, Watching educational videos, Participating in online discussions, Sharing academic resources",Once or twice,Unsure,No,Not sure,No,Unsure,Awareness,Improper content,Lawyer follow enjoy under between gun item.
19-21,College/University,3-4 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Entertainment, Socializing with friends",3.5-4.0,Yes,"Helps me with research and study groups, Motivates me through educational content, Distracts me from studying",Frequently,"Joining study groups, Watching educational videos, Seeking help from peers/experts, Sharing academic resources",Multiple times per hour,Mostly negative,Yes,Yes,Not sure,Mostly positive,Entertainment,Addiction,Couple week guess do lawyer nice rule decision.
19-21,College/University,3-4 hours,"Instagram, WhatsApp",Smartphone,"Entertainment, Professional networking",3.5-4.0,No,"Distracts me from studying, Motivates me through educational content",Frequently,Participating in online discussions,Multiple times per hour,Neutral,No,Yes,Yes,Mostly negative,Entertainment,Distraction,Hot require strategy travel occur about.
Over 21,College/University,1-2 hours,YouTube,Smartphone,Socializing with friends,2.0-2.5,Yes,"Motivates me through educational content, Causes me to procrastinate, Helps me with research and study groups",Always,Watching educational videos,Every hour,Unsure,No,Yes,Yes,Mostly positive,It connects the whole world,Information insecurity and rumors,Why player tend board.
19-21,College/University,1-2 hours,"Instagram, WhatsApp",Smartphone,"News and updates, Socializing with friends, Educational purposes",2.0-2.5,Yes,Helps me with research and study groups,Always,"Participating in online discussions, Watching educational videos",Every hour,Neutral,Yes,Yes,Not sure,Unsure,Socializing with friends,Nothing,Control level there modern for wear.
19-21,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"News and updates, Entertainment, Educational purposes",2.0-2.5,No,"Motivates me through educational content, Helps me with research and study groups, Distracts me from studying",Frequently,Seeking help from peers/experts,Every hour,Unsure,Yes,No,Not sure,Unsure,Educational information,Information insecurity and rumors,Through hour themselves.
19-21,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,"News and updates, Socializing with friends",3.5-4.0,No,"Distracts me from studying, Helps me with research and study groups, Motivates me through educational content",Always,"Seeking help from peers/experts, Joining study groups, Sharing academic resources, Participating in online discussions",Multiple times per hour,Mostly positive,No,No,Yes,Mostly positive,Socializing with friends,Improper content,Human professor five pressure wide represent catch.
19-21,College/University,5-6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"News and updates, Socializing with friends, Professional networking",3.0-3.5,No,"Motivates me through educational content, Distracts me from studying",Occasionally,"Sharing academic resources, Seeking help from peers/experts, Joining study groups, Watching educational videos",Once or twice,Neutral,Yes,Not sure,Not sure,Mostly negative,Awareness,Distraction,Want respond along future sometimes.
19-21,College/University,Less than 1 hour,YouTube,Tablet,"News and updates, Professional networking, Socializing with friends",3.0-3.5,Yes,"Motivates me through educational content, Helps me with research and study groups, Causes me to procrastinate",Frequently,Participating in online discussions,Once or twice,Mostly negative,Not sure,Yes,No,Neutral,Entertainment,Improper content,Card spring food full piece head me.
16-18,College/University,3-4 hours,Instagram,Smartphone,"News and updates, Educational purposes",3.5-4.0,Yes,"Motivates me through educational content, Helps me with research and study groups",Occasionally,"Joining study groups, Sharing academic resources",Once or twice,Neutral,Yes,Yes,Yes,Mostly positive,Educational information,It causes procrastination,Much crime feel strong.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Smartphone,News and updates,3.5-4.0,Not sure,"Helps me with research and study groups, Causes me to procrastinate",Always,"Joining study groups, Participating in online discussions, Seeking help from peers/experts",Multiple times per hour,Mostly positive,Yes,Yes,Not sure,Unsure,Awareness,Nothing,Office second common according imagine.
16-18,College/University,5-6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,News and updates,3.5-4.0,Yes,"Distracts me from studying, Motivates me through educational content",Frequently,"Joining study groups, Seeking help from peers/experts",Multiple times per hour,Mostly positive,Yes,No,Not sure,Mostly negative,Entertainment,Distraction,Kitchen claim better experience mouth stock.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Smartphone,Socializing with friends,3.0-3.5,No,"Motivates me through educational content, Causes me to procrastinate, Distracts me from studying",Always,Participating in online discussions,Once or twice,Mostly positive,Not sure,Not sure,No,Unsure,Wide range of resources,Nothing,Bank force support including understand town happy.
19-21,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Laptop,Professional networking,3.5-4.0,No,Motivates me through educational content,Occasionally,Watching educational videos,Multiple times per hour,Unsure,No,Not sure,No,Mostly negative,It connects the whole world,Distraction,American policy drop way series.
16-18,College/University,1-2 hours,Instagram,Smartphone,Socializing with friends,3.5-4.0,Yes,"Motivates me through educational content, Causes me to procrastinate",Occasionally,"Participating in online discussions, Watching educational videos",Every hour,Neutral,Not sure,Not sure,Not sure,Unsure,Educational information,Distraction,Quickly peace industry natural change everything down general.
19-21,College/University,5-6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,Educational purposes,3.5-4.0,Yes,"Distracts me from studying, Motivates me through educational content, Causes me to procrastinate",Occasionally,"Participating in online discussions, Joining study groups, Sharing academic resources",Multiple times per hour,Mostly negative,Not sure,Yes,Not sure,Mostly negative,Wide range of resources,Addiction,Line rock he surface.
19-21,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Laptop,"Educational purposes, News and updates",2.5-3.0,Not sure,"Causes me to procrastinate, Helps me with research and study groups",Always,"Sharing academic resources, Joining study groups",Every hour,Unsure,No,No,Not sure,Mostly positive,It connects the whole world,Addiction,Decade item loss sometimes.
19-21,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"News and updates, Entertainment",2.5-3.0,Yes,Helps me with research and study groups,Frequently,"Seeking help from peers/experts, Joining study groups",Once or twice,Neutral,No,Not sure,Not sure,Mostly negative,Entertainment,Improper content,Tough determine describe.
19-21,College/University,Less than 1 hour,"Facebook, Instagram, WhatsApp",Smartphone,"Educational purposes, Professional networking",3.5-4.0,Yes,Distracts me from studying,Frequently,"Seeking help from peers/experts, Sharing academic resources, Participating in online discussions, Joining study groups",Every hour,Mostly positive,Not sure,Yes,Not sure,Mostly negative,Awareness,Addiction,See usually mind or south.
Over 21,College/University,More than 6 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Entertainment, Educational purposes, News and updates",2.0-2.5,No,"Motivates me through educational content, Causes me to procrastinate",Occasionally,"Joining study groups, Sharing academic resources",Once or twice,Neutral,No,Not sure,Not sure,Mostly negative,It connects the whole world,Information insecurity and rumors,Affect organization then because newspaper reach.
19-21,College/University,5-6 hours,Instagram,Smartphone,"News and updates, Socializing with friends",3.5-4.0,Yes,"Distracts me from studying, Motivates me through educational content, Causes me to procrastinate",Always,"Seeking help from peers/experts, Participating in online discussions, Watching educational videos, Joining study groups",Every hour,Neutral,Yes,Yes,Not sure,Unsure,Entertainment,It causes procrastination,Us recent after usually continue.
Over 21,College/University,5-6 hours,"WhatsApp, YouTube",Smartphone,"Socializing with friends, Professional networking",2.5-3.0,Yes,"Helps me with research and study groups, Distracts me from studying",Always,Seeking help from peers/experts,Multiple times per hour,Mostly negative,No,No,No,Unsure,Educational information,Addiction,Party expect cold probably.
16-18,College/University,5-6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,Socializing with friends,2.0-2.5,Yes,Motivates me through educational content,Always,"Sharing academic resources, Seeking help from peers/experts, Participating in online discussions, Joining study groups",Every hour,Mostly positive,Not sure,No,Yes,Neutral,Awareness,Improper content,Case unit husband education decision two back.
16-18,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Entertainment, News and updates",3.0-3.5,No,"Causes me to procrastinate, Distracts me from studying",Frequently,"Participating in online discussions, Seeking help from peers/experts",Every hour,Mostly negative,No,Yes,Yes,Mostly positive,Awareness,Nothing,So agency on role.
19-21,College/University,1-2 hours,YouTube,Smartphone,"Entertainment, Educational purposes",3.5-4.0,Yes,"Distracts me from studying, Causes me to procrastinate, Helps me with research and study groups",Frequently,"Joining study groups, Seeking help from peers/experts",Multiple times per hour,Mostly positive,Yes,Not sure,No,Neutral,Educational information,Distraction,Factor better culture wind agree.
19-21,College/University,5-6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Laptop,Entertainment,2.5-3.0,Yes,"Distracts me from studying, Helps me with research and study groups, Causes me to procrastinate",Always,"Sharing academic resources, Joining study groups",Multiple times per hour,Mostly positive,No,No,Not sure,Mostly positive,Educational information,Distraction,Event against yet city kitchen.
16-18,College/University,3-4 hours,"Instagram, WhatsApp",Smartphone,"Socializing with friends, Educational purposes, Professional networking",3.5-4.0,Yes,"Distracts me from studying, Motivates me through educational content",Always,"Watching educational videos, Seeking help from peers/experts, Participating in online discussions, Joining study groups",Multiple times per hour,Unsure,Not sure,Not sure,Not sure,Mostly negative,Entertainment,Addiction,Student social just theory.
19-21,College/University,3-4 hours,"Facebook, Instagram, WhatsApp",Laptop,Professional networking,3.0-3.5,No,"Motivates me through educational content, Distracts me from studying, Helps me with research and study groups",Occasionally,"Seeking help from peers/experts, Sharing academic resources",Every hour,Mostly negative,Yes,Yes,No,Mostly negative,Wide range of resources,Addiction,Candidate color we current war address those.
19-21,College/University,5-6 hours,YouTube,Smartphone,Socializing with friends,2.5-3.0,No,"Helps me with research and study groups, Distracts me from studying",Always,"Watching educational videos, Seeking help from peers/experts, Participating in online discussions, Sharing academic resources",Every hour,Unsure,Not sure,No,Yes,Mostly negative,Entertainment,It causes procrastination,These suffer company.
16-18,College/University,5-6 hours,YouTube,Tablet,"Socializing with friends, Educational purposes",3.0-3.5,Yes,"Motivates me through educational content, Helps me with research and study groups",Occasionally,"Seeking help from peers/experts, Watching educational videos, Sharing academic resources",Multiple times per hour,Mostly positive,Not sure,Yes,No,Neutral,It connects the whole world,Addiction,Sport enough speak trial event process.
